Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,21.250000,21.360001,20.799999,21.000000,21.000000,56540400
2018-10-02,22.000000,22.820000,21.900000,22.820000,22.820000,127231800
2018-10-03,null,null,null,null,null,null
2018-10-04,23.450001,24.520000,23.209999,24.020000,24.020000,99743300
2018-10-05,24.490000,24.590000,23.660000,23.959999,23.959999,104693400
2018-10-08,null,null,null,null,null,null
2018-10-09,null,null,null,null,null,null
2018-10-10,26.309999,26.389999,25.650000,26.049999,26.049999,82688000
2018-10-11,26.549999,26.750000,25.059999,25.290001,25.290001,119307500
2018-10-15,25.900000,26.120001,25.549999,25.770000,25.770000,92331900
2018-10-16,26.200001,26.730000,26.090000,26.730000,26.730000,74144800
2018-10-17,26.440001,26.629999,26.260000,26.450001,26.450001,80990300
2018-10-18,26.290001,26.340000,25.700001,25.700001,25.700001,56268900
2018-10-19,26.290001,26.340000,25.700001,25.920000,25.920000,61858300
2018-10-22,26.270000,26.600000,26.270000,26.530001,26.530001,63678000
2018-10-23,26.150000,26.480000,25.809999,26.200001,26.200001,77457300
2018-10-24,26.410000,26.990000,25.680000,25.680000,25.680000,93377100
2018-10-25,26.180000,26.639999,25.690001,26.320000,26.320000,79732200
2018-10-26,26.650000,27.600000,26.120001,27.600000,27.600000,110184900
2018-10-29,26.750000,27.270000,25.969999,26.420000,26.420000,160890100
2018-10-30,26.700001,28.000000,26.420000,28.000000,28.000000,107525500
2018-10-31,28.260000,28.330000,27.299999,27.620001,27.620001,84131500
2018-11-01,27.760000,28.020000,27.110001,27.320000,27.320000,98037100
2018-11-05,27.500000,28.160000,27.410000,28.160000,28.160000,60389900
2018-11-06,27.299999,28.299999,26.990000,27.190001,27.190001,95344400
2018-11-07,27.610001,27.650000,26.260000,26.299999,26.299999,95817100
2018-11-08,26.799999,27.030001,25.350000,25.350000,25.350000,119096300
2018-11-09,25.200001,25.719999,24.680000,25.459999,25.459999,94206400
2018-11-12,25.540001,25.920000,25.290001,25.330000,25.330000,63162600
2018-11-13,25.320000,25.320000,23.950001,24.240000,24.240000,112776300
